"year","avg_vol"
2002,0.0176354677645157
2003,0.00718996315292778
2004,0.000934890551818152
2005,0.000356384115356986
2006,6.70773640170648e-05
2007,3.92265262761014e-05
2008,1.8331404080704e-05
2009,0.0144322869046173
2010,0.0083023279935197
2011,0.000274514365956117
2012,8.38899902509603e-05
2013,4.70689359672592e-05
2014,0.000147015644950173
2015,0.00361254226777301
2016,0.00953959760332479
2017,0.000493309678582471
2018,0.0261833091709968
2019,0.0080734548337756
2020,0.011800612774013
2002,0.223650994108224
2003,0.00152377561722932
2004,0.000208148347187211
2005,0.000233251820137037
2006,0.00855472561708679
2007,0.00157657252205487
2008,0.000614244739928606
2009,0.000235074762661894
2010,2.80082114900858e-05
2011,0.000303994827696823
2012,0.000987997136871887
2013,0.000814942950780741
2014,9.33887291504058e-05
2015,0.00172075725580812
2016,0.0325432804911002
2017,0.000230355613630132
2018,0.000162179899742555
2019,0.000236967798064409
2020,0.00016283358974727
2002,0.000455344440344309
2003,0.000458100600775195
2004,0.000490519788027564
2005,0.000478619778840328
2006,0.00044344937200734
2007,0.000396465399553602
2008,0.000476838035922573
2009,0.000757498314839137
2010,0.000637141324477855
2011,0.000653279437928826
2012,0.000520267553965387
2013,0.000419220101158682
2014,0.000334499723983817
2015,0.00045693747727051
2016,0.000433519720266119
2017,0.000336360623636198
2018,0.000294096894751842
2019,0.000224972008277369
2020,0.000221495189268944
2002,0.000661143046085583
2003,0.000760719257718002
2004,0.000759133891530562
2005,0.000810001204451903
2006,0.000798632235006012
2007,0.00074316046069383
2008,0.000669547584874636
2009,0.000721128242982901
2010,0.000615585324147266
2011,0.000562511087710604
2012,0.000493453950614834
2013,0.000437616191270402
2014,0.000374466600640913
2015,0.00032717379378079
2016,0.000394336968515636
2017,0.000387257299632051
2018,0.000409376892062783
2019,0.000378091129445404
2020,0.000395581308087182
2002,0.000455344440344309
2003,0.000458100600775195
2004,0.000490519788027564
2005,0.000478619778840328
2006,0.00044344937200734
2007,0.000396465399553602
2008,0.000476838035922573
2009,0.000757498314839137
2010,0.000637141324477855
2011,0.000653279437928826
2012,0.000520267553965387
2013,0.000419220101158682
2014,0.000334499723983817
2015,0.00045693747727051
2016,0.000433519720266119
2017,0.000336360623636198
2018,0.000294096894751842
2019,0.000224972008277369
2020,0.000221495189268944
2002,0.000404169133272531
2003,0.000385629038917663
2004,0.000417458572902517
2005,0.000485067810605642
2006,0.000423415421707067
2007,0.000380160028633262
2008,0.00051962128774718
2009,0.000582722514339509
